timestamp,open,high,low,close,volume
2011-09-04,575.9,575.9,575.9,575.9,0.0
2011-09-05,572.36,572.36,572.36,572.36,0.0
2011-09-06,562.9,562.9,562.9,562.9,0.0
2011-09-07,566.3,566.3,566.3,566.3,0.0
2011-09-08,568.29,568.29,568.29,568.29,0.0
2011-09-12,567.42,567.42,567.42,567.42,0.0
2011-09-13,564.47,564.47,564.47,564.47,0.0
2011-09-14,557.31,557.31,557.31,557.31,0.0
2011-09-15,556.79,556.79,556.79,556.79,0.0
2011-09-18,553.76,553.76,553.76,553.76,0.0
2011-09-19,545.31,545.31,545.31,545.31,0.0
2011-09-20,549.23,549.23,549.23,549.23,0.0
2011-09-21,556.48,556.48,556.48,556.48,0.0
2011-09-22,561.38,561.38,561.38,561.38,0.0
2011-09-25,564.67,564.67,564.67,564.67,0.0
2011-09-26,566.38,566.38,566.38,566.38,0.0
2011-09-27,565.39,565.39,565.39,565.39,0.0
2011-09-29,563.46,563.46,563.46,563.46,0.0
2011-10-02,565.92,565.92,565.92,565.92,0.0
2011-10-09,568.37,568.37,568.37,568.37,0.0
2011-10-10,572.42,572.42,572.42,572.42,0.0
2011-10-12,573.75,573.75,573.75,573.75,0.0
2011-10-13,573.5,573.5,573.5,573.5,0.0
2011-10-16,584.15,584.15,584.15,584.15,0.0
2011-10-17,588.84,588.84,588.84,588.84,0.0
2011-10-18,597.88,597.88,597.88,597.88,0.0
2011-10-19,628.41,628.41,628.41,628.41,0.0
2011-10-20,607.77,607.77,607.77,607.77,0.0
2011-10-23,611.78,611.78,611.78,611.78,0.0
2011-10-24,609.29,609.29,609.29,609.29,0.0
2011-10-25,608.67,608.67,608.67,608.67,0.0
2011-10-30,609.99,609.99,609.99,609.99,0.0
2011-10-31,610.28,610.28,610.28,610.28,0.0
2011-11-02,620.04,620.04,620.04,620.04,0.0
2011-11-03,614.27,614.27,614.27,614.27,0.0
2011-11-06,608.76,608.76,608.76,608.76,0.0
2011-11-08,611.99,611.99,611.99,611.99,0.0
2011-11-09,611.7,611.7,611.7,611.7,0.0
2011-11-10,606.05,606.05,606.05,606.05,0.0
2011-11-13,606.5,606.5,606.5,606.5,0.0
2011-11-14,602.13,602.13,602.13,602.13,0.0
2011-11-15,597.07,597.07,597.07,597.07,0.0
2011-11-16,578.96,578.96,578.96,578.96,0.0
2011-11-17,575.95,575.95,575.95,575.95,0.0
2011-11-20,579.89,579.89,579.89,579.89,0.0
2011-11-21,582.69,582.69,582.69,582.69,0.0
2011-11-22,576.9,576.9,576.9,576.9,0.0
2011-11-23,571.3,571.3,571.3,571.3,0.0
2011-11-24,563.65,563.65,563.65,563.65,0.0
2011-11-27,552.56,552.56,552.56,552.56,0.0
2011-11-28,547.81,547.81,547.81,547.81,0.0
2011-12-01,546.04,546.04,546.04,546.04,0.0
2011-12-04,553.09,553.09,553.09,553.09,0.0
2011-12-05,557.26,557.26,557.26,557.26,0.0
2011-12-06,556.4,556.4,556.4,556.4,0.0
2011-12-07,556.5,556.5,556.5,556.5,0.0
2011-12-08,555.46,555.46,555.46,555.46,0.0
2011-12-11,548.0,548.0,548.0,548.0,0.0
2011-12-12,543.93,543.93,543.93,543.93,0.0
2011-12-13,530.29,530.29,530.29,530.29,0.0
2011-12-14,536.85,536.85,536.85,536.85,0.0
2011-12-15,538.49,538.49,538.49,538.49,0.0
2011-12-18,537.67,537.67,537.67,537.67,0.0
2011-12-19,538.0,538.0,538.0,538.0,0.0
2011-12-20,540.9,540.9,540.9,540.9,0.0
2011-12-21,542.19,542.19,542.19,542.19,0.0
2011-12-22,539.88,539.88,539.88,539.88,0.0
2011-12-26,541.34,541.34,541.34,541.34,0.0
2011-12-27,540.55,540.55,540.55,540.55,0.0
