timestamp,open,high,low,close,volume
2012-01-01,262.23,262.23,262.23,262.23,0.0
2012-01-02,263.87,263.87,263.87,263.87,0.0
2012-01-03,263.38,263.38,263.38,263.38,0.0
2012-01-04,261.69,261.69,261.69,261.69,0.0
2012-01-05,261.05,261.05,261.05,261.05,0.0
2012-01-08,260.9,260.9,260.9,260.9,0.0
2012-01-09,260.44,260.44,260.44,260.44,0.0
2012-01-10,258.23,258.23,258.23,258.23,0.0
2012-01-11,256.48,256.48,256.48,256.48,0.0
2012-01-12,255.64,255.64,255.64,255.64,0.0
2012-01-17,256.2,256.2,256.2,256.2,0.0
2012-01-18,256.04,256.04,256.04,256.04,0.0
2012-01-19,255.78,255.78,255.78,255.78,0.0
2012-01-22,255.8,255.8,255.8,255.8,0.0
2012-01-23,255.26,255.26,255.26,255.26,0.0
2012-01-25,254.91,254.91,254.91,254.91,0.0
2012-01-26,254.92,254.92,254.92,254.92,0.0
2012-01-29,254.62,254.62,254.62,254.62,0.0
2012-01-31,253.49,253.49,253.49,253.49,0.0
2012-02-01,253.89,253.89,253.89,253.89,0.0
2012-02-02,253.54,253.54,253.54,253.54,0.0
2012-02-05,252.18,252.18,252.18,252.18,0.0
2012-02-06,251.92,251.92,251.92,251.92,0.0
2012-02-07,252.21,252.21,252.21,252.21,0.0
2012-02-08,250.81,250.81,250.81,250.81,0.0
2012-02-09,249.64,249.64,249.64,249.64,0.0
2012-02-12,249.03,249.03,249.03,249.03,0.0
2012-02-13,248.32,248.32,248.32,248.32,0.0
2012-02-14,247.58,247.58,247.58,247.58,0.0
2012-02-15,246.6,246.6,246.6,246.6,0.0
2012-02-16,246.54,246.54,246.54,246.54,0.0
2012-02-21,246.13,246.13,246.13,246.13,0.0
2012-02-23,245.64,245.64,245.64,245.64,0.0
2012-02-26,295.55,295.55,295.55,295.55,0.0
2012-02-27,293.69,293.69,293.69,293.69,0.0
2012-02-28,293.82,293.82,293.82,293.82,0.0
2012-02-29,293.98,293.98,293.98,293.98,0.0
2012-03-01,294.05,294.05,294.05,294.05,0.0
2012-03-04,294.61,294.61,294.61,294.61,0.0
2012-03-05,295.21,295.21,295.21,295.21,0.0
2012-03-06,294.2,294.2,294.2,294.2,0.0
2012-03-11,293.57,293.57,293.57,293.57,0.0
2012-03-12,292.51,292.51,292.51,292.51,0.0
2012-03-13,293.25,293.25,293.25,293.25,0.0
2012-03-14,293.03,293.03,293.03,293.03,0.0
2012-03-15,234.86,234.86,234.86,234.86,0.0
2012-03-18,237.75,237.75,237.75,237.75,0.0
2012-03-19,237.82,237.82,237.82,237.82,0.0
2012-03-20,237.58,237.58,237.58,237.58,0.0
2012-03-21,236.15,236.15,236.15,236.15,0.0
2012-03-25,235.66,235.66,235.66,235.66,0.0
2012-03-26,235.15,235.15,235.15,235.15,0.0
2012-03-27,234.39,234.39,234.39,234.39,0.0
2012-03-28,235.3,235.3,235.3,235.3,0.0
2012-03-29,233.65,233.65,233.65,233.65,0.0
2012-04-01,233.17,233.17,233.17,233.17,0.0
2012-04-02,232.72,232.72,232.72,232.72,0.0
2012-04-03,231.97,231.97,231.97,231.97,0.0
2012-04-04,230.97,230.97,230.97,230.97,0.0
2012-04-05,231.15,231.15,231.15,231.15,0.0
2012-04-08,231.67,231.67,231.67,231.67,0.0
2012-04-09,232.03,232.03,232.03,232.03,0.0
2012-04-10,231.61,231.61,231.61,231.61,0.0
2012-04-11,232.5,232.5,232.5,232.5,0.0
2012-04-12,236.06,236.06,236.06,236.06,0.0
2012-04-15,240.26,240.26,240.26,240.26,0.0
2012-04-16,242.44,242.44,242.44,242.44,0.0
2012-04-17,244.3,244.3,244.3,244.3,0.0
2012-04-18,246.29,246.29,246.29,246.29,0.0
2012-04-19,249.07,249.07,249.07,249.07,0.0
2012-04-22,253.59,253.59,253.59,253.59,0.0
2012-04-24,257.13,257.13,257.13,257.13,0.0
2012-04-25,262.62,262.62,262.62,262.62,0.0
2012-04-26,268.42,268.42,268.42,268.42,0.0
2012-04-29,272.78,272.78,272.78,272.78,0.0
2012-04-30,272.12,272.12,272.12,272.12,0.0
2012-05-02,270.9,270.9,270.9,270.9,0.0
2012-05-03,273.19,273.19,273.19,273.19,0.0
2012-05-07,275.89,275.89,275.89,275.89,0.0
2012-05-08,278.59,278.59,278.59,278.59,0.0
2012-05-09,276.92,276.92,276.92,276.92,0.0
2012-05-10,275.44,275.44,275.44,275.44,0.0
2012-05-13,272.9,272.9,272.9,272.9,0.0
2012-05-14,270.82,270.82,270.82,270.82,0.0
2012-05-15,273.55,273.55,273.55,273.55,0.0
2012-05-16,276.27,276.27,276.27,276.27,0.0
2012-05-17,277.91,277.91,277.91,277.91,0.0
2012-05-20,274.4,274.4,274.4,274.4,0.0
2012-05-21,275.28,275.28,275.28,275.28,0.0
2012-05-22,273.41,273.41,273.41,273.41,0.0
2012-05-23,272.38,272.38,272.38,272.38,0.0
2012-05-24,270.54,270.54,270.54,270.54,0.0
2012-05-27,272.78,272.78,272.78,272.78,0.0
2012-05-29,269.26,269.26,269.26,269.26,0.0
2012-05-30,267.46,267.46,267.46,267.46,0.0
2012-05-31,264.88,264.88,264.88,264.88,0.0
2012-06-03,264.37,264.37,264.37,264.37,0.0
2012-06-04,262.45,262.45,262.45,262.45,0.0
2012-06-05,258.69,258.69,258.69,258.69,0.0
2012-06-06,255.33,255.33,255.33,255.33,0.0
2012-06-07,254.09,254.09,254.09,254.09,0.0
2012-06-10,251.61,251.61,251.61,251.61,0.0
2012-06-11,251.55,251.55,251.55,251.55,0.0
2012-06-12,250.34,250.34,250.34,250.34,0.0
2012-06-13,249.44,249.44,249.44,249.44,0.0
2012-06-14,248.16,248.16,248.16,248.16,0.0
2012-06-17,246.94,246.94,246.94,246.94,0.0
2012-06-18,247.1,247.1,247.1,247.1,0.0
2012-06-19,245.16,245.16,245.16,245.16,0.0
2012-06-20,245.25,245.25,245.25,245.25,0.0
2012-06-21,245.53,245.53,245.53,245.53,0.0
2012-06-25,246.52,246.52,246.52,246.52,0.0
2012-06-26,245.87,245.87,245.87,245.87,0.0
2012-06-27,246.89,246.89,246.89,246.89,0.0
2012-06-28,247.65,247.65,247.65,247.65,0.0
2012-07-01,247.76,247.76,247.76,247.76,0.0
2012-07-02,246.58,246.58,246.58,246.58,0.0
2012-07-03,246.18,246.18,246.18,246.18,0.0
2012-07-04,245.87,245.87,245.87,245.87,0.0
2012-07-05,246.44,246.44,246.44,246.44,0.0
2012-07-08,244.72,244.72,244.72,244.72,0.0
