,seasonality
Jan,2.80
Feb,4.83
Mar,1.84
Apr,-1.79
May,-4.29
Jun,-4.89
Jul,-0.32
Aug,11.15
Sep,1.63
Oct,-3.23
Nov,-2.58
Dec,-5.16
