,returns
Jan,3.07
Feb,-2.05
Mar,5.47
Apr,2.93
May,2.13
Jun,3.43
Jul,6.40
Aug,-2.52
Sep,0.12
Oct,1.55
Nov,1.21
Dec,-0.66
