,returns
Jan,8.49
Feb,-1.93
Mar,1.16
Apr,-2.78
May,-0.61
Jun,2.43
Jul,11.63
Aug,-5.92
Sep,-9.31
Oct,0.60
Nov,-2.39
Dec,3.25
