,seasonality
Jan,309.55
Feb,483.11
Mar,293.95
Apr,36.01
May,-161.66
Jun,-26.57
Jul,238.65
Aug,278.65
Sep,-212.94
Oct,-506.58
Nov,-432.68
Dec,-328.45
