,seasonality
Jan,80.87
Feb,62.63
Mar,-13.68
Apr,-4.13
May,-2.89
Jun,22.51
Jul,137.41
Aug,119.29
Sep,-60.33
Oct,-120.11
Nov,-134.52
Dec,-84.04
