,returns
Jan,8.33
Feb,-0.70
Mar,-3.36
Apr,-0.01
May,-2.40
Jun,2.87
Jul,5.33
Aug,-3.17
Sep,-3.70
Oct,0.36
Nov,2.12
Dec,9.06
