,seasonality
Jan,5.23
Feb,-9.61
Mar,-29.52
Apr,-25.04
May,-22.40
Jun,-9.26
Jul,30.18
Aug,38.46
Sep,22.41
Oct,12.34
Nov,-10.61
Dec,-5.54
