,seasonality
Jan,76.28
Feb,66.40
Mar,40.34
Apr,-14.93
May,-34.99
Jun,-3.43
Jul,49.00
Aug,25.26
Sep,-86.52
Oct,-127.33
Nov,-59.65
Dec,37.20
