,returns
Jan,4.15
Feb,-0.04
Mar,0.41
Apr,1.28
May,1.75
Jun,4.08
Jul,10.05
Aug,-1.93
Sep,-2.78
Oct,2.68
Nov,-0.57
Dec,-1.26
