,seasonality
Jan,525.35
Feb,834.30
Mar,407.06
Apr,112.56
May,-259.71
Jun,-173.92
Jul,206.20
Aug,225.89
Sep,-416.62
Oct,-735.35
Nov,-588.51
Dec,-206.69
