,seasonality
Jan,114.41
Feb,40.40
Mar,-57.64
Apr,-121.08
May,-92.66
Jun,19.74
Jul,116.80
Aug,53.48
Sep,-33.35
Oct,-64.10
Nov,-61.98
Dec,71.49
