,seasonality
Jan,-18.04
Feb,-42.28
Mar,-71.06
Apr,-82.50
May,-52.72
Jun,9.13
Jul,98.49
Aug,87.97
Sep,33.61
Oct,39.87
Nov,5.02
Dec,-17.68
