,seasonality
Jan,5.82
Feb,1.26
Mar,0.23
Apr,-7.53
May,-0.48
Jun,2.43
Jul,3.06
Aug,-2.94
Sep,-4.85
Oct,-0.95
Nov,0.16
Dec,2.27
