,seasonality
Jan,0.09
Feb,-1.28
Mar,-4.35
Apr,-2.54
May,0.54
Jun,2.08
Jul,1.56
Aug,-1.36
Sep,-0.74
Oct,3.46
Nov,1.43
Dec,0.92
