,returns
Jan,3.71
Feb,1.19
Mar,-4.06
Apr,0.07
May,-0.37
Jun,0.73
Jul,6.32
Aug,0.12
Sep,-1.76
Oct,3.35
Nov,4.43
Dec,0.50
