,seasonality
Jan,72.30
Feb,63.36
Mar,18.53
Apr,-15.43
May,-32.65
Jun,-29.07
Jul,-6.29
Aug,-24.98
Sep,-52.37
Oct,-28.06
Nov,-0.19
Dec,32.40
