,seasonality
Jan,30.10
Feb,17.14
Mar,-12.68
Apr,-21.35
May,-17.27
Jun,14.11
Jul,99.36
Aug,60.43
Sep,-45.60
Oct,-55.21
Nov,-63.70
Dec,-13.05
