,seasonality
Jan,-4.18
Feb,-48.04
Mar,-96.81
Apr,-108.29
May,-64.68
Jun,9.78
Jul,115.09
Aug,113.70
Sep,46.53
Oct,43.87
Nov,-10.12
Dec,-12.34
