,seasonality
Jan,3.89
Feb,1.14
Mar,0.48
Apr,-3.14
May,0.38
Jun,2.10
Jul,2.06
Aug,-3.64
Sep,-4.07
Oct,-0.73
Nov,-1.04
Dec,2.42
