,seasonality
Jan,0.57
Feb,-0.44
Mar,-1.28
Apr,1.16
May,1.63
Jun,1.44
Jul,1.21
Aug,-3.18
Sep,-2.43
Oct,0.09
Nov,-0.64
Dec,1.92
