,returns
Jan,1.09
Feb,1.66
Mar,-2.69
Apr,2.58
May,3.36
Jun,2.07
Jul,5.72
Aug,0.49
Sep,-1.55
Oct,-0.00
Nov,2.21
Dec,5.61
