,seasonality
Jan,-75.99
Feb,-82.45
Mar,-79.62
Apr,-38.48
May,8.36
Jun,106.69
Jul,144.89
Aug,102.30
Sep,28.79
Oct,-21.34
Nov,-35.50
Dec,-64.95
